feature,abs_coeff
ARHGEF16,0.2755883538988813
PTK6,0.24896869827149934
FCAMR,0.24882961035926304
CCNE1,0.2115500915831953
PHLDA1,0.19554169579262767
ENTPD5,0.1865252518235335
SYPL2,0.1794253700624198
ACSM1,0.17154540036992383
NCF2,0.17123843299621952
F11,0.1690672285928838
IRX3,0.16441901869098424
ENPP3,0.16252493634619025
TMOD1,0.1570787369794976
ALDH1B1,0.1568318882433097
ADH1C,0.15533146739952639
SOAT2,0.15224632100645694
PSAT1,0.15174500158724477
HLA-DMA,0.14891742523420048
TPX2,0.14695884236944562
PLAAT2,0.14679393348851738
